uid,cost,availability,reputation,speed,coverd_regions,facility,number_places,rating
1,2.441936727440618,0.7352598934413817,0.6125942474845854,108.90679428788293,"[2, 1]",bus,6,5
2,2.8089332958829303,0.4287663291117452,0.24717482917598538,93.34112744329296,"[0, 2]",car,4,5
3,3.509982020370672,0.3850684761435652,0.6811927475501289,100.94106905928152,"[1, 0]",bus,6,5
4,3.4509056368208078,0.5334629308624366,0.5162741919700059,92.34364987582686,"[0, 1]",bus,4,5
5,3.406607431317872,0.48141346509019745,0.33533225444598147,89.95910775722913,[0],car,4,4
6,2.733381729315121,0.4506524892650285,0.48226958922635826,91.17459276427084,"[1, 0]",bus,2,5
7,2.384324808861962,0.36162647190270586,0.6210427306635447,94.18183830846223,[0],bus,4,2
8,2.266407299620469,0.526607621259035,0.2644029445619822,112.4322175359545,"[1, 0]",bus,2,2
9,2.9904060376422574,0.5420336408509598,0.4032702477328354,108.71034664643183,[1],bus,4,3
10,3.2717269152140935,0.6182805724159341,0.7503273824850709,99.59790109977573,"[0, 1]",bus,2,4
11,3.230872382490279,0.5245658789121909,0.5739448439038338,101.55039787905773,"[0, 2]",bus,4,3
12,4.5052636824095345,0.6729542697593556,0.4586428712352972,98.58290632862557,"[1, 0]",car,4,1
13,2.7944448968772297,0.653032578232903,0.8162776514746373,100.13409327892631,[0],bus,2,1
14,4.211460464133061,0.39057363971282044,0.625484654997602,92.44343755990661,[2],car,4,2
15,3.7118809814033433,0.7816619500852762,0.6189722798691094,101.00376024836945,"[2, 1]",bus,4,1
16,1.9650933877551577,0.481793374317778,0.5935939617550714,89.86599335658289,"[1, 2]",bus,2,2
17,5.0,0.8118866579249389,0.41466741601331863,107.38344193809668,[0],bus,6,3
18,3.8398384937718353,0.3856063358681731,0.31901477901871017,110.19513925923275,"[0, 2]",car,2,2
19,3.4501115980642294,0.7528813060856979,0.7094039253276692,93.14196694485662,"[1, 0]",bus,6,1
20,2.1857851875529564,0.6814484563426679,0.5407880077125821,104.37145798268116,[1],bus,2,3
21,2.8469959387966304,0.5428101199735672,0.5192022909407076,102.87774730653409,[2],car,6,3
